datetime,duration,protocol,src,src_port,dst,dst_port,src_bytes,dst_bytes,count,srv_count
04/16-05:53:06.571, 0:00:00.000188, TCP, 9.246.85.82, 4411, 192.168.136.128, 135, 0, 0.,132,132
04/16-05:53:06.572, 0:00:00.000181, TCP, 9.246.85.82, 64203, 192.168.136.128, 135, 0, 0.,133,133
04/16-05:53:06.573, 0:00:00.000182, TCP, 9.246.85.82, 30613, 192.168.136.128, 135, 0, 0.,134,134
04/16-05:53:06.574, 0:00:00.000268, TCP, 9.246.85.82, 29984, 192.168.136.128, 135, 0, 0.,135,135
04/16-05:53:06.575, 0:00:00.000179, TCP, 9.246.85.82, 37838, 192.168.136.128, 135, 0, 0.,137,137
04/16-05:53:06.575, 0:00:00.000170, TCP, 9.246.85.82, 50322, 192.168.136.128, 135, 0, 0.,137,137
04/16-05:53:06.576, 0:00:00.000179, TCP, 9.246.85.82, 17974, 192.168.136.128, 135, 0, 0.,138,138
04/16-05:53:06.577, 0:00:00.000181, TCP, 9.246.85.82, 8671, 192.168.136.128, 135, 0, 0.,139,139
04/16-05:53:06.578, 0:00:00.000210, TCP, 9.246.85.82, 63007, 192.168.136.128, 135, 0, 0.,140,140
04/16-05:53:06.579, 0:00:00.000184, TCP, 9.246.85.82, 49064, 192.168.136.128, 135, 0, 0.,141,141
04/16-05:53:06.580, 0:00:00.000175, TCP, 9.246.85.82, 36341, 192.168.136.128, 135, 0, 0.,143,143
04/16-05:53:06.580, 0:00:00.000198, TCP, 9.246.85.82, 43714, 192.168.136.128, 135, 0, 0.,143,143
04/16-05:53:06.581, 0:00:00.000196, TCP, 9.246.85.82, 33513, 192.168.136.128, 135, 0, 0.,144,144
04/16-05:53:06.582, 0:00:00.000188, TCP, 9.246.85.82, 31032, 192.168.136.128, 135, 0, 0.,145,145
04/16-05:53:06.583, 0:00:00.000183, TCP, 9.246.85.82, 38251, 192.168.136.128, 135, 0, 0.,146,146
04/16-05:53:06.584, 0:00:00.000178, TCP, 9.246.85.82, 45085, 192.168.136.128, 135, 0, 0.,147,147
04/16-05:53:06.585, 0:00:00.000177, TCP, 9.246.85.82, 50992, 192.168.136.128, 135, 0, 0.,149,149
04/16-05:53:06.585, 0:00:00.000192, TCP, 9.246.85.82, 53422, 192.168.136.128, 135, 0, 0.,149,149
04/16-05:53:06.586, 0:00:00.000184, TCP, 9.246.85.82, 64801, 192.168.136.128, 135, 0, 0.,150,150
04/16-05:53:06.587, 0:00:00.000184, TCP, 9.246.85.82, 1815, 192.168.136.128, 135, 0, 0.,151,151
04/16-05:53:06.590, 0:00:00.000344, TCP, 9.246.85.82, 28500, 192.168.136.128, 135, 0, 0.,152,152
04/16-05:53:06.592, 0:00:00.000229, TCP, 9.246.85.82, 55961, 192.168.136.128, 135, 0, 0.,154,154
04/16-05:53:06.592, 0:00:00.000186, TCP, 9.246.85.82, 15745, 192.168.136.128, 135, 0, 0.,154,154
04/16-05:53:06.593, 0:00:00.000271, TCP, 9.246.85.82, 51390, 192.168.136.128, 135, 0, 0.,155,155
04/16-05:53:06.595, 0:00:00.000296, TCP, 9.246.85.82, 54735, 192.168.136.128, 135, 0, 0.,157,157
04/16-05:53:06.595, 0:00:00.000143, TCP, 9.246.85.82, 39613, 192.168.136.128, 135, 0, 0.,157,157
04/16-05:53:06.596, 0:00:00.000181, TCP, 9.246.85.82, 5641, 192.168.136.128, 135, 0, 0.,158,158
04/16-05:53:06.597, 0:00:00.000181, TCP, 9.246.85.82, 18313, 192.168.136.128, 135, 0, 0.,159,159
04/16-05:53:06.598, 0:00:00.000172, TCP, 9.246.85.82, 65289, 192.168.136.128, 135, 0, 0.,160,160
04/16-05:53:06.599, 0:00:00.000192, TCP, 9.246.85.82, 55052, 192.168.136.128, 135, 0, 0.,161,161
04/16-05:53:06.600, 0:00:00.000176, TCP, 9.246.85.82, 45037, 192.168.136.128, 135, 0, 0.,163,163
04/16-05:53:06.600, 0:00:00.000175, TCP, 9.246.85.82, 57198, 192.168.136.128, 135, 0, 0.,163,163
04/16-05:53:06.601, 0:00:00.000184, TCP, 9.246.85.82, 159, 192.168.136.128, 135, 0, 0.,164,164
04/16-05:53:06.602, 0:00:00.000182, TCP, 9.246.85.82, 25172, 192.168.136.128, 135, 0, 0.,165,165
04/16-05:53:06.603, 0:00:00.000178, TCP, 9.246.85.82, 52599, 192.168.136.128, 135, 0, 0.,166,166
04/16-05:53:06.604, 0:00:00.000176, TCP, 9.246.85.82, 31129, 192.168.136.128, 135, 0, 0.,167,167
04/16-05:53:06.605, 0:00:00.000184, TCP, 9.246.85.82, 14825, 192.168.136.128, 135, 0, 0.,169,169
04/16-05:53:06.605, 0:00:00.000173, TCP, 9.246.85.82, 28211, 192.168.136.128, 135, 0, 0.,169,169
04/16-05:53:06.606, 0:00:00.000288, TCP, 9.246.85.82, 58842, 192.168.136.128, 135, 0, 0.,170,170
04/16-05:53:06.607, 0:00:00.000207, TCP, 9.246.85.82, 22675, 192.168.136.128, 135, 0, 0.,171,171
04/16-05:53:06.608, 0:00:00.000185, TCP, 9.246.85.82, 62715, 192.168.136.128, 135, 0, 0.,172,172
04/16-05:53:06.609, 0:00:00.000217, TCP, 9.246.85.82, 39160, 192.168.136.128, 135, 0, 0.,173,173
